item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
777,,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10001,777 APPALAM NO.3 75X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10007,ALMOND SLICED NATURAL 25LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10018,ROASTED VERMICELLI 50X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10021,NADIYADI MIX NAMKEEN 15X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10022,UNROASTED VERMICELLI 39X425G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10023,BESAN 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10026,BLACK CARDAMOM 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10026,BLACK CARDAMOM PP,Main Page,MAIN PAGE,,,,FALSE,FALSE
10028,BLACK EYE PEAS 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10029,BLACK PEPPER COARSE 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10030,BLACK PEPPER POWDER 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10031,BLACK PEPPER WHOLE 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10035,SESAME SEED BLACK PP,Main Page,MAIN PAGE,,,,FALSE,FALSE
10035,SESAME SEED BLACK 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10037,QBV MALTED POWDER 15X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10038,QBV MALTED POWDER 8X1KG,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10039,COW GHEE 12X8OZ,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10040,COW GHEE 24X16OZ,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10044,SESAME SEED BROWN 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10046,INSTANT COFFEE JAR 12X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10050,CASHEW #240 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10054,CASHEW #320 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10058,CASHEW PIECES IVORY CST 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10063,CHANA DAL 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10071,CHILLI VINEGAR SAUCE 24X170G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10072,DARK SOY SAUCE 24X210G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10073,GREEN CHILLI SAUCE 24X190G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10075,MANCHURIAN STIR FRY SAUCE 24X250G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10077,LASAN BHEL (GARLIC) NAMKEEN 15X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10079,RED CHILLI SAUCE 24X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10080,SCHEZWAN CHUTNEY 24X250G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10081,SCHEZWAN SAUCE 24X250G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10085,CHIRAG SALT 24X750G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10086,CLOVE WHOLE 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10094,COCONUT POWDER FINE 25LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10095,COCONUT POWDER MEDUIM 25/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10096,DRY COCONUT WHOLE 22LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10100,CORIANDER POWDER PP,Main Page,MAIN PAGE,,,,FALSE,FALSE
10100,CORIANDER POWDER 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10102,CORIANDER SEED 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10104,CRACKED WHEAT #4 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10105,CUMIN POWDER 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10106,CUMIN SEED 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10111,DECCAN IDLY RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10112,DECCAN PONNI BOILED (PARBOILED) RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10113,DESI CINNAMON STICK 22/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10142,ENO REG. 48X100G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10143,EX. HOT CHILLI POWDER 22/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10144,FENNEL SEED 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10147,GM CHANA DAL 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10150,CORN OIL 6X1GAL,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10153,GM KOLHAPURI JAGGERY 12X(1KG)2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10154,GM KOLHAPURI JAGGERY 24X500G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10155,GM KOLHAPURI JAGGERY 4X(5KG)11LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10156,GM KOLHAPURI JAGGERY 6X(2KG)4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10159,GM KALA CHANA 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10161,GM MOONG DAL 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10162,GM MOONG DAL 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10163,GM MOONG DAL 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
